文献ID,页码/图表,证据片段,合金名称,样品状态,工艺步骤,测试类型,Zr,Sn,Nb,Fe,Cr,Ni,Cu,Sb,Sc,Ge,O,Al,S,C,H,N,Si,温度(°C),介质,压力(MPa),应变率(s-1),辐照剂量(dpa),通量,时间(h),气氛,密度数据,密度单位,比热容数据,比热容单位,热传导率数据,热传导率单位,弹塑性模型数据,弹塑性模型单位,热膨胀数据,热膨胀单位,辐照蠕变数据,辐照蠕变单位,辐照肿胀数据,辐照肿胀单位,腐蚀数据,腐蚀单位,硬化性能数据数据,硬化性能数据单位
STP681-EB-Zirconium in the Nuclear Industry_4th Volume_020_chunk3,text,"The stresses and strains are tensile at the inside surface of the ring (I), zero at the neutral axis (C), and compressive at the outside surface (A).",,ring,stressed on block,stress analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tensile,,,,,,,,,,,
STP681-EB-Zirconium in the Nuclear Industry_4th Volume_020_chunk3,text,It is convenient to introduce here a plastic deformation correction factor $f _ { \mathfrak { p } }$ by which Oding's formula (Eq 1) must be multiplied to account for uniform and nonuniform plastic deformation during stressing at room temperature,,ring,stressed on block,stress analysis,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,
STP681-EB-Zirconium in the Nuclear Industry_4th Volume_020_chunk4,text,"Sixteen slotted Zircaloy rings, electrolytically hydrided in the unstressed condition, were stressed to their yield points and exposed to iodine vapor (3 g/m²) in two separate capsules that were heated concurrently to 573 K",Zircaloy,"slotted rings, electrolytically hydrided in unstressed condition","electrolytic hydriding, stressing to yield point",stress corrosion cracking,,,,,,,,,,,,,,,,,,300.0,iodine vapor,,,,,,,,,,,,,,,,,,,,,,,,
STP681-EB-Zirconium in the Nuclear Industry_4th Volume_020_chunk4,text,Times to failure increased in sequence with the amount of hydriding,Zircaloy,"slotted rings, electrolytically hydrided",electrolytic hydriding,stress corrosion cracking,,,,,,,,,,,,,,,,,,300.0,iodine vapor,,,,,,,,,,,,,,,,,,,,,,,,
STP681-EB-Zirconium in the Nuclear Industry_4th Volume_020_chunk4,text,The rings did not crack in 300-h tests even when additional axial scribe marks up to 100 μm deep were introduced into the tube inside surface,Zircaloy,Batch 2 rings with scribe marks,scribing,stress corrosion cracking,,,,,,,,,,,,,,,,,,300.0,iodine,,,,,300.0,,,,,,,,,,,,,,,,no crack,,,
STP681-EB-Zirconium in the Nuclear Industry_4th Volume_020_chunk4,text,We found a ≈ 0.093 L for crack lengths in the range 2.5 < L < 3.5 mm,Zircaloy,precracked rings,precracking,crack measurement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.093,,,
STP681-EB-Zirconium in the Nuclear Industry_4th Volume_020_chunk4,text,The 14 precracked rings selected for testing were restressed on Zircaloy blocks and exposed to an iodine-air environment at 573 K,Zircaloy,precracked rings,restressing,stress corrosion cracking,,,,,,,,,,,,,,,,,,300.0,iodine-air,,,,,,,,,,,,,,,,,,,,,,,,
STP681-EB-Zirconium in the Nuclear Industry_4th Volume_020_chunk5,text,"After stress relieving in vacuum for 3 h at 683 ± 5 K, rings of Batch 3 tubing were tested in an iodine-air environment at 573 K under a variety of stresses and with three inside surface conditions-smooth, scratched to a depth of 20 μm, and scratched to a depth of 40 μm",,Batch 3 tubing rings,stress relieving in vacuum for 3 h at 683 ± 5 K,SCC test,,,,,,,,,,,,,,,,,,300.0,iodine-air environment,,,,,,,,,,,,,,,,,,,,,,,,
STP681-EB-Zirconium in the Nuclear Industry_4th Volume_020_chunk5,text,Rings cracked in the 573 K iodine vapor-air environment when the initial stress was equal to or greater than the 573 K yield stress,,Batch 3 tubing rings,,SCC test,,,,,,,,,,,,,,,,,,300.0,iodine vapor-air environment,,,,,,,,,,,,,,,,,,,,,67.0,%,,
STP681-EB-Zirconium in the Nuclear Industry_4th Volume_020_chunk5,Table 4,"Hydrogen Content (mg/kg) <25, Time to Fail (h) 0.17-0.33, Fractography T",,"Batch 1 stressed slotted rings, hydrided unstressed",hydrided,SCC test,,,,,,,,,,,,,,,,,,300.0,iodine vapor,,,,,,"I2 conc. = 3 g/m², air pressure = 6 ± 2 Pa",,,,,,,,,,,,,,,0.17–0.33,h,,
STP681-EB-Zirconium in the Nuclear Industry_4th Volume_020_chunk5,Table 4,"Hydrogen Content (mg/kg) 847, Time to Fail (h) NF 168, Fractography · . ·, Bend Test Result B",,"Batch 1 stressed slotted rings, hydrided unstressed",hydrided,SCC test,,,,,,,,,,,,,,,,,,300.0,iodine vapor,,,,,168.0,"I2 conc. = 3 g/m², air pressure = 6 ± 2 Pa",,,,,,,,,,,,,,,,,,
STP681-EB-Zirconium in the Nuclear Industry_4th Volume_020_chunk5,Table 4,"Hydrogen Content (mg/kg) 54, Time to Fail (h) 2.3, Fractography I",,"Batch 1 stressed slotted rings, hydrided stressed",hydrided,SCC test,,,,,,,,,,,,,,,,,,300.0,iodine vapor,,,,,,"I2 conc. = 3 g/m², air pressure = 6 ± 2 Pa",,,,,,,,,,,,,,,2.3,h,,
STP681-EB-Zirconium in the Nuclear Industry_4th Volume_020_chunk6,table,Notch Typeb D; Slot Width Initial 4.1 mm; Slot Width On Wedge 18.1 mm; Test Duration 229 h; Hoop Stress At Test Start 371 MPa; Hoop Stress At Test End 210 MPa,Zircaloy,deep notched rings,,SCC test,,,,,,,,,,,,,,,,,,573.0,iodine vapor,,,,,,,,,,,,,371,MPa,,,,,,,18.1,mm,,
STP681-EB-Zirconium in the Nuclear Industry_4th Volume_020_chunk6,text,The SCC tests were done at 573 K with an iodine concentration of 100 g/m²,Zircaloy,,,SCC test,,,,,,,,,,,,,,,,,,573.0,iodine vapor,,,,,,,,,,,,,,,,,,,,,100,g/m²,,
STP681-EB-Zirconium in the Nuclear Industry_4th Volume_020_chunk6,text,"S = shallow notches (≈20 μm deep), D = deep notches (≈40±10 μm deep), U = un-notched rings",Zircaloy,shallow notched rings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,μm,,
STP681-EB-Zirconium in the Nuclear Industry_4th Volume_020_chunk7,text,Batch 3 rings resisted SCC in iodine vapor at 573 K,Zircaloy,Batch 3 rings,as-received,SCC test,,,,,,,,,,,,,,,,,,300.0,iodine vapor,,,,,,,,,,,,,,,,,,,,,resisted,,,
STP681-EB-Zirconium in the Nuclear Industry_4th Volume_020_chunk7,text,they became susceptible to SCC in iodine vapor after stress relieving for 3 h at 683 ± 5 K,Zircaloy,Batch 3 rings,stress-relieved,SCC test,,,,,,,,,,,,,,,,,,410.0,iodine vapor,,,,,3.0,,,,,,,,,,,,,,,,susceptible,,,
STP681-EB-Zirconium in the Nuclear Industry_4th Volume_020_chunk7,text,stress relieving lowers the threshold stress required for SCC in iodine vapor,Zircaloy,,stress-relieved,SCC test,,,,,,,,,,,,,,,,,,,iodine vapor,,,,,,,,,,,,,,,,,,,,,lowered,,,
STP681-EB-Zirconium in the Nuclear Industry_4th Volume_020_chunk7,text,Increasing the degree of hydriding of Batch 1 material caused progressively longer times to failure changing the fracture mode from transgranular cleavage to intergranular cracking,Zircaloy,Batch 1 material,hydriding,fracture test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,longer,,,
STP681-EB-Zirconium in the Nuclear Industry_4th Volume_020_chunk7,text,Stress-relieving Batch 3 material significantly reduced the subsequent stress relaxation rate in SCC tests,Zircaloy,Batch 3 material,stress-relieved,stress relaxation test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reduced,,,,,,,,,,,
STP681-EB-Zirconium in the Nuclear Industry_4th Volume_020_chunk7,text,sharp precracks propagated in iodine vapor when they were over 100 µm deep and the stress intensity exceeded about 8.5 MPa · m2,Zircaloy,Batch 2 tubing,,crack propagation test,,,,,,,,,,,,,,,,,,,iodine vapor,,,,,,,,,,,,,,,,,,,,,8.5,MPa·m²,,
STP681-EB-Zirconium in the Nuclear Industry_4th Volume_020_chunk7,text,Kiscc could be considerably less for irradiated Zircaloy,Zircaloy,irradiated,,SCC test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,less,MPa·m²,,
STP681-EB-Zirconium in the Nuclear Industry_4th Volume_020_chunk7,text,"in stressrelieved Batch 3 material tested in methanol-iodine at 293 ± 2 K, cracks nucleated at scatches in the Zircaloy, significantly shortening failure times",Zircaloy,Batch 3 material,stress-relieved,crack nucleation test,,,,,,,,,,,,,,,,,,20.0,methanol-iodine,,,,,,,,,,,,,,,,,,,,,shortened,,,
STP681-EB-Zirconium in the Nuclear Industry_4th Volume_020_chunk7,text,"in iodine vapor at 573 ± 3 K, cracks nucleated at preferred natural sites (e.g., intermetallic precipitates), ignoring the deliberate surface scratches",Zircaloy,Batch 3 material,stress-relieved,crack nucleation test,,,,,,,,,,,,,,,,,,300.0,iodine vapor,,,,,,,,,,,,,,,,,,,,,natural sites,,,
STP681-EB-Zirconium in the Nuclear Industry_4th Volume_020_chunk7,Fig. 11,Comparison of stress relaxation rates in Batch 3 rings in the as-received condition and after stress relieving for 3 h at 683 K,Zircaloy,Batch 3 rings,as-received,stress relaxation test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,faster,,,,,,,,,,,
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_027_chunk1,abstract,Open porosity increases from 0.01% at 10 μm to 3% at 100 μm,Zr-based alloys,oxidized,corrosion,corrosion test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01–3.0,%,,
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_027_chunk1,Test Results,Alternating-current impedance measurements of oxidized samples were performed in a 1 ΛH_z SO_4 electrolyte solution,Zircaloy,oxidized,corrosion,impedance measurement,,,,,,,,,,,,,,,,,,,1 H_z SO_4 electrolyte solution,,,,,,,,,,,,,,,,,,,,,,,,
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_027_chunk1,Test Results,A dielectric constant of 20 was used for ZrO_2,,,,impedance measurement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_027_chunk1,Test Results,"These samples had been oxidized anodically in either 350°C water (up to 1000 days) or 400°C, 100 bar steam (up to 80 days) for samples with uniform oxide",Zircaloy,oxidized,anodic oxidation,corrosion test,,,,,,,,,,,,,,,,,,350.0,water,,,,,1000.0,,,,,,,,,,,,,,,,,,,
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_027_chunk1,Test Results,"These samples had been oxidized anodically in either 350°C water (up to 1000 days) or 400°C, 100 bar steam (up to 80 days) for samples with uniform oxide",Zircaloy,oxidized,anodic oxidation,corrosion test,,,,,,,,,,,,,,,,,,400.0,steam,10.0,,,,80.0,,,,,,,,,,,,,,,,,,,
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_027_chunk1,Test Results,and in 500% high pressure steam (0.1 to 48 h),Zircaloy,oxidized,anodic oxidation,corrosion test,,,,,,,,,,,,,,,,,,,high pressure steam,,,,,,,,,,,,,,,,,,,,,,,,
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_027_chunk1,Test Results,The samples were evacuated to <10^5 mbar and then heated to 300°C before measuring the BET surface,Zircaloy-4,oxidized,BET measurement,BET measurement,,,,,,,,,,,,,,,,,,300.0,,,,,,,vacuum,,,,,,,,,,,,,,,,,,
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_027_chunk3,Table 1,Sample No. 35; Corrosion Exposure Environ./Temp.(C)/Time(d) High pressure steam/400/8; Material Condition Zry-4/SR; Oxide Layer Type/Thickness (μm) Uniform/1.6,Zry-4,SR,corrosion exposure,TEM examination,,,,,,,,,,,,,,,,,,400.0,High pressure steam,,,,,192.0,,,,,,,,,,,,,,,,Uniform,,,
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_027_chunk3,Table 1,Sample No. 51-23; Corrosion Exposure Environ./Temp.(C)/Time(d) 105 bar steam 400/40; Material Condition Zry-4/RX; Oxide Layer Type/Thickness (μm) Uniform/3.1,Zry-4,RX,corrosion exposure,TEM examination,,,,,,,,,,,,,,,,,,400.0,105 bar steam,10.5,,,,960.0,,,,,,,,,,,,,,,,Uniform,,,
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_027_chunk3,Table 1,Sample No. 43; Corrosion Exposure Environ./Temp.(C)/Time(d) Hydrogenated water/350/800; Material Condition Zry-4/SR; Oxide Layer Type/Thickness (μm) Uniform/16,Zry-4,SR,corrosion exposure,TEM examination,,,,,,,,,,,,,,,,,,350.0,Hydrogenated water,,,,,19200.0,,,,,,,,,,,,,,,,Uniform,,,
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_027_chunk3,Table 1,Sample No. 304; Corrosion Exposure Environ./Temp.(C)/Time(d) Hydrogenated water 350 330; Material Condition Zry-4RX; Oxide Layer Type/Thickness (μm) Accelerated/23,Zry-4,RX,corrosion exposure,TEM examination,,,,,,,,,,,,,,,,,,350.0,Hydrogenated water,,,,,7920.0,,,,,,,,,,,,,,,,Accelerated,,,
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_027_chunk3,Table 1,Sample No. D-18; Corrosion Exposure Environ./Temp.(C)/Time(d) 105 bar steam/5001.5; Material Condition Zry-4/SR; Oxide Layer Type/Thickness (μm) Nodular/200,Zry-4,SR,corrosion exposure,TEM examination,,,,,,,,,,,,,,,,,,500.0,105 bar steam,10.5,,,,36.0,,,,,,,,,,,,,,,,Nodular,,,
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_027_chunk3,Table 1,Sample No. 5-8; Corrosion Exposure Environ./Temp.(C)/Time(d) Oxygen/400/36; Material Condition Zry-4/RX; Oxide Layer Type/Thickness (μm) Uniform/4.5,Zry-4,RX,corrosion exposure,TEM examination,,,,,,,,,,,,,,,,,,400.0,Oxygen,,,,,36.0,Oxygen,,,,,,,,,,,,,,,Uniform,,,
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_027_chunk3,Table 2,Sample No. 51-42; Oxide-Metal Interface Grain Size (nm) 25*80; Grain Shape column.; Crist. Structure M(T),Zry-4,RX,corrosion exposure,TEM examination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25–80,nm
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_027_chunk4,text,iron distribution is more diffuse than that of chromium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,iron more diffuse than chromium,,,
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_027_chunk4,text,"Ten analyses of the Fe/Cr ratio close to the metal/oxide interface in a sample oxidized for 60 days gave a mean value of 1.7, with minimum and maximum values of 0.8 and 2.2, respectively",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8–2.2,,,
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_027_chunk5,text,"Zircaloy forms a dense barrier oxide layer which becomes porous after some critical time, allowing water to penetrate. When this porous layer is formed, corrosion is controlled by a thin dense interlayer at the metal/oxide interface.",Zircaloy,oxidized,corrosion,corrosion test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,quasi-amorphous substoichiometric,,,
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_027_chunk5,text,The corrosion tests have shown that nodular corrosion only occurs in high pressure steam and can easily be suppressed by oxygen additions.,Zircaloy,oxidized,corrosion,corrosion test,,,,,,,,,,,,,,,,,,,high pressure steam,,,,,,,,,,,,,,,,,,,,,occurs,,,
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_027_chunk5,text,The corrosion tests have shown that nodular corrosion only occurs in high pressure steam and can easily be suppressed by oxygen additions.,Zircaloy,oxidized,corrosion,corrosion test,,,,,,,,,,,,,,,,,,,,,,,,,oxygen,,,,,,,,,,,,,,,suppressed,,,
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_027_chunk6,ABSTRACT,"Two allotropic forms of zirconium oxide. monoclinic and tetragonal, have been identified in the scales formed on zirconium alloys.",zirconium alloys,scales,oxidation,phase identification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_027_chunk6,ABSTRACT,"Oxidation exposures were made in an autoclave, using $\mathrm { H } _ { \geq } \mathrm { O } ^ { 1 8 }$ and $\mathrm { D } _ { ? } \mathrm { O } ^ { 1 8 }$ to determine the overall diffusion coefficients.",,,oxidation exposure,diffusion test,,,,,,,,,,,,,,,,,,,"H2O18, D2O18",,,,,,,,,,,,,,,,,,,,,,,,
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_027_chunk6,ABSTRACT,"oxide scales have been studied on Zircaloy-4 with three different precipitate sizes, and on a Zr-1Nb alloy, after exposure in an autoclave for between 3 and 100 days.",Zircaloy-4,oxide scales,autoclave exposure,corrosion test,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_027_chunk6,ABSTRACT,"oxide scales have been studied on Zircaloy-4 with three different precipitate sizes, and on a Zr-1Nb alloy, after exposure in an autoclave for between 3 and 100 days.",Zircaloy-4,oxide scales,autoclave exposure,corrosion test,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_027_chunk6,ABSTRACT,"Close to the interface, the tetragonal phase content is about $4 0 \%$",,oxide scale,oxidation,phase analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,%,,
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_027_chunk6,ABSTRACT,The $\mathrm { O ^ { 1 8 } }$ diffusion treatment was carried out in an autoclave at $4 0 0 \%$ under pressure on specimens previously oxidized for between 3 and 100 days in natural water vapor pressure.,,oxidized specimens,O18 diffusion treatment,diffusion test,,,,,,,,,,,,,,,,,,400.0,O18,,,,,3.0,natural water vapor,,,,,,,,,,,,,,,,,,
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_027_chunk6,ABSTRACT,The $\mathrm { O ^ { 1 8 } }$ diffusion treatment was carried out in an autoclave at $4 0 0 \%$ under pressure on specimens previously oxidized for between 3 and 100 days in natural water vapor pressure.,,oxidized specimens,O18 diffusion treatment,diffusion test,,,,,,,,,,,,,,,,,,400.0,O18,,,,,100.0,natural water vapor,,,,,,,,,,,,,,,,,,
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_027_chunk6,ABSTRACT,The boundary diffusion coefficient is $1 0 ^ { \mathrm { s } }$ times higher than those for bulk diffusion,,,diffusion,diffusion test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000000.0,,,
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_019_chunk1,p.1,"About 400 pressure-tubes made of cold-worked $\mathsf { Z r } { \mathsf { - } } 2 . 5 \mathsf { N b }$ are used in a CANDU power reactor to contain the nuclear fuel and the heat transport fluid, heavy water, at between 250 to $3 1 0 \mathrm { { } \mathrm { { c } } }$ at a pressure of about $1 0 \ \mathrm { { M P a } }$",Zr-2.5Nb,cold-worked,fabrication,operating_conditions,"{'value': 97.5, 'unit': 'wt%'}",,"{'value': 2.5, 'unit': 'wt%'}",,,,,,,,,,,,,,,,heavy water,10.0,,,,,,,,,,,,,,250.0–310.0,°C,,,,,,,,
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_019_chunk1,p.1,"About 400 pressure-tubes made of cold-worked $\mathsf { Z r } { \mathsf { - } } 2 . 5 \mathsf { N b }$ are used in a CANDU power reactor to contain the nuclear fuel and the heat transport fluid, heavy water, at between 250 to $3 1 0 \mathrm { { } \mathrm { { c } } }$ at a pressure of about $1 0 \ \mathrm { { M P a } }$",Zr-2.5Nb,cold-worked,fabrication,operating_conditions,"{'value': 97.5, 'unit': 'wt%'}",,"{'value': 2.5, 'unit': 'wt%'}",,,,,,,,,,,,,,,,heavy water,,,,,,,,,,,,,10.0,MPa,,,,,,,,,,
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_019_chunk1,p.1,"The in-core, primary coolant containment of CANDU nuclear reactors are tubes, $6 . 3 \textrm { m }$ long with an inside diameter of $1 0 3 ~ \mathrm { m m }$ and a wall thickness of $4 . 2 \ \mathrm { m m }$ , made from coldworked $\mathsf { Z r } { - } 2 . 5 \mathsf { N b }$ alloy.",Zr-2.5Nb,cold-worked,fabrication,geometry,"{'value': 97.5, 'unit': 'wt%'}",,"{'value': 2.5, 'unit': 'wt%'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7e+17,n/(s·m²),,,,,,
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_019_chunk1,p.1,The pressure tubes contain $\mathrm { U O } _ { 2 }$ -fuel and heat transport $\mathrm { D } _ { 2 } \mathrm { O }$ at a pressure of about $1 0 \mathbf { M P a }$ and at a temperature ranging from 250 to $2 6 5 \mathrm { { ^ \circ C } }$ at the inlet ends to 290 to $3 1 5 \mathrm { ^ \circ C }$ at the outlet ends.,Zr-2.5Nb,cold-worked,operation,operating_conditions,"{'value': 97.5, 'unit': 'wt%'}",,"{'value': 2.5, 'unit': 'wt%'}",,,,,,,,,,,,,,,,D2O,10.0,,,,,,,,,,,,,,250.0–265.0,°C,,,,,,,,
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_019_chunk1,p.1,"Test materials were taken from pressure tubes removed from CANDU reactors after up to about 15 years of service, with fluences up to $9 \ \times \ 1 0 ^ { 2 5 } \ \mathrm { n } / \mathrm { m } ^ { 2 }$ $E > 1$ MeV).3",Zr-2.5Nb,irradiated,irradiation,irradiation_conditions,"{'value': 97.5, 'unit': 'wt%'}",,"{'value': 2.5, 'unit': 'wt%'}",,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,
