alloy_name,composition,composition_raw,conditions,conditions_hash,confidence,domain,evidence_span,metric_type,metric极,metric极速_type,note,page_or_fig,process_step,property_name,raw_unit,source_id,specimen_state,test_type,unit,value,value_max,value_min,极速test_type
Zircaloy-2,{},,"{'temperature': None, 'pressure': None, 'environment': None, 'strain_rate': None, 'irradiation_dose': None, 'time': None}",a80a48d72777,,hardening,not_mentioned_in_text,not_available,,,auto_filled_domain_placeholder,text,manufactured,,,STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_017_chunk1,cladding tube,,,,,,
Zircaloy-2,"{'Sn': {'value': 1.4, 'unit': 'wt%'}, 'Fe': {'value': 0.1, 'unit': 'wt%'}, 'Cr': {'value': 0.09, 'unit': 'wt%'}, 'Ni': {'value': 0.05, 'unit': 'wt%'}, 'O': {'value': 1170.0, 'unit': 'ppm'}, 'C': {'value': 120.0, 'unit': 'ppm'}}",,"{'temperature': None, 'pressure': None, 'environment': None, 'strain_rate': None, 'irradiation_dose': None, 'time': None}",a80a48d72777,1.0,,"Zircaloy-2 Ingot 860220 B: Sn 1.40, Fe 0.10, Cr 0.09, Ni 0.05, O 1170 ppm, C 120 ppm",measurement,,,,Table 1,,composition,wt% and ppm,STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_017_chunk1,ingot bottom,,wt% and ppm,,,,
Zircaloy-2,"{'Sn': {'value': 1.4, 'unit': 'wt%'}, 'Fe': {'value': 0.1, 'unit': 'wt%'}, 'Cr': {'value': 0.09, 'unit': 'wt%'}, 'Ni': {'value': 0.05, 'unit': 'wt%'}, 'O': {'value': 1170.0, 'unit': 'ppm'}, 'C': {'value': 120.0, 'unit': 'ppm'}}",,"{'temperature': None, 'pressure': None, 'environment': None, 'strain_rate': None, 'irradiation_dose': None, 'time': None}",a80a48d72777,,density,not_mentioned_in_text,not_available,,,auto_filled_domain_placeholder,Table 1,,,,STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_017_chunk1,ingot bottom,,,,,,
Zircaloy-2,"{'Sn': {'value': 1.4, 'unit': 'wt%'}, 'Fe': {'value': 0.1, 'unit': 'wt%'}, 'Cr': {'value': 0.09, 'unit': 'wt%'}, 'Ni': {'value': 0.05, 'unit': 'wt%'}, 'O': {'value': 1170.0, 'unit': 'ppm'}, 'C': {'value': 120.0, 'unit': 'ppm'}}",,"{'temperature': None, 'pressure': None, 'environment': None, 'strain_rate': None, 'irradiation_dose': None, 'time': None}",a80a48d72777,,specific_heat,not_mentioned_in_text,not_available,,,auto_filled_domain_placeholder,Table 1,,,,STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_017_chunk1,ingot bottom,,,,,,
Zircaloy-2,"{'Sn': {'value': 1.4, 'unit': 'wt%'}, 'Fe': {'value': 0.1, 'unit': 'wt%'}, 'Cr': {'value': 0.09, 'unit': 'wt%'}, 'Ni': {'value': 0.05, 'unit': 'wt%'}, 'O': {'value': 1170.0, 'unit': 'ppm'}, 'C': {'value': 120.0, 'unit': 'ppm'}}",,"{'temperature': None, 'pressure': None, 'environment': None, 'strain_rate': None, 'irradiation_dose': None, 'time': None}",a80a48d72777,,thermal_conductivity,not_mentioned_in_text,not_available,,,auto_filled_domain_placeholder,Table 1,,,,STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_017_chunk1,ingot bottom,,,,,,
Zircaloy-2,"{'Sn': {'value': 1.4, 'unit': 'wt%'}, 'Fe': {'value': 0.1, 'unit': 'wt%'}, 'Cr': {'value': 0.09, 'unit': 'wt%'}, 'Ni': {'value': 0.05, 'unit': 'wt%'}, 'O': {'value': 1170.0, 'unit': 'ppm'}, 'C': {'value': 120.0, 'unit': 'ppm'}}",,"{'temperature': None, 'pressure': None, 'environment': None, 'strain_rate': None, 'irradiation_dose': None, 'time': None}",a80a48d72777,,elastoplastic_model,not_mentioned_in_text,not_available,,,auto_filled_domain_placeholder,Table 1,,,,STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_017_chunk1,ingot bottom,,,,,,
Zircaloy-2,"{'Sn': {'value': 1.4, 'unit': 'wt%'}, 'Fe': {'value': 0.1, 'unit': 'wt%'}, 'Cr': {'value': 0.09, 'unit': 'wt%'}, 'Ni': {'value': 0.05, 'unit': 'wt%'}, 'O': {'value': 1170.0, 'unit': 'ppm'}, 'C': {'value': 120.0, 'unit': 'ppm'}}",,"{'temperature': None, 'pressure': None, 'environment': None, 'strain_rate': None, 'irradiation_dose': None, 'time': None}",a80a48d72777,,thermal_expansion,not_mentioned_in_text,not_available,,,auto_filled_domain_placeholder,Table 1,,,,STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_017_chunk1,ingot bottom,,,,,,
Zircaloy-2,"{'Sn': {'value': 1.4, 'unit': 'wt%'}, 'Fe': {'value': 0.1, 'unit': 'wt%'}, 'Cr': {'value': 0.09, 'unit': 'wt%'}, 'Ni': {'value': 0.05, 'unit': 'wt%'}, 'O': {'value': 1170.0, 'unit': 'ppm'}, 'C': {'value': 120.0, 'unit': 'ppm'}}",,"{'temperature': None, 'pressure': None, 'environment': None, 'strain_rate': None, 'irradiation_dose': None, 'time': None}",a80a48d72777,,irradiation_creep,not_mentioned_in_text,not_available,,,auto_filled_domain_placeholder,Table 1,,,,STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_017_chunk1,ingot bottom,,,,,,
Zircaloy-2,"{'Sn': {'value': 1.4, 'unit': 'wt%'}, 'Fe': {'value': 0.1, 'unit': 'wt%'}, 'Cr': {'value': 0.09, 'unit': 'wt%'}, 'Ni': {'value': 0.05, 'unit': 'wt%'}, 'O': {'value': 1170.0, 'unit': 'ppm'}, 'C': {'value': 120.0, 'unit': 'ppm'}}",,"{'temperature': None, 'pressure': None, 'environment': None, 'strain_rate': None, 'irradiation_dose': None, 'time': None}",a80a48d72777,,irradiation_swelling,not_mentioned_in_text,not_available,,,auto_filled_domain_placeholder,Table 1,,,,STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_017_chunk1,ingot bottom,,,,,,
Zircaloy-2,"{'Sn': {'value': 1.4, 'unit': 'wt%'}, 'Fe': {'value': 0.1, 'unit': 'wt%'}, 'Cr': {'value': 0.09, 'unit': 'wt%'}, 'Ni': {'value': 0.05, 'unit': 'wt%'}, 'O': {'value': 1170.0, 'unit': 'ppm'}, 'C': {'value': 120.0, 'unit': 'ppm'}}",,"{'temperature': None, 'pressure': None, 'environment': None, 'strain_rate': None, 'irradiation_dose': None, 'time': None}",a80a48d72777,,corrosion,not_mentioned_in_text,not_available,,,auto_filled_domain_placeholder,Table 1,,,,STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_017_chunk1,ingot bottom,,,,,,
Zircaloy-2,"{'Sn': {'value': 1.4, 'unit': 'wt%'}, 'Fe': {'value': 0.1, 'unit': 'wt%'}, 'Cr': {'value': 0.09, 'unit': 'wt%'}, 'Ni': {'value': 0.05, 'unit': 'wt%'}, 'O': {'value': 1170.0, 'unit': 'ppm'}, 'C': {'value': 120.0, 'unit': 'ppm'}}",,"{'temperature': None, 'pressure': None, 'environment': None, 'strain_rate': None, 'irradiation_dose': None, 'time': None}",a80a48d72777,,hardening,not_mentioned_in_text,not_available,,,auto_filled_domain_placeholder,Table 1,,,,STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_017_chunk1,ingot bottom,,,,,,
Zircaloy-2,"{'Sn': {'value': 1.57, 'unit': 'wt%'}, 'Fe': {'value': 0.1, 'unit': 'wt%'}, 'Cr': {'value': 0.11, 'unit': 'wt%'}, 'Ni': {'value': 0.05, 'unit': 'wt%'}, 'O': {'value': 1150.0, 'unit': 'ppm'}, 'C': {'value': 140.0, 'unit': 'ppm'}}",,"{'temperature': None, 'pressure': None, 'environment': None, 'strain_rate': None, 'irradiation_dose': None, 'time': None}",a80a48d72777,1.0,,"Zircaloy-2 Ingot 860220 M: Sn 1.57, Fe 0.10, Cr 0.11, Ni 极速5, O 1150 ppm, C 140 ppm",,,measurement,,Table 1,,composition,wt% and ppm,STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_017_chunk1,ingot middle,,wt% and ppm,,,,
Zircaloy-2,"{'Sn': {'value': 1.57, 'unit': 'wt%'}, 'Fe': {'value': 0.1, 'unit': 'wt%'}, 'Cr': {'value': 0.11, 'unit': 'wt%'}, 'Ni': {'value': 0.05, 'unit': 'wt%'}, 'O': {'value': 1150.0, 'unit': 'ppm'}, 'C': {'value': 140.0, 'unit': 'ppm'}}",,"{'temperature': None, 'pressure': None, 'environment': None, 'strain_rate': None, 'irradiation_dose': None, 'time': None}",a80a48d72777,,density,not_mentioned_in_text,not_available,,,auto_filled_domain_placeholder,Table 1,,,,STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_017_chunk1,ingot middle,,,,,,
Zircaloy-2,"{'Sn': {'value': 1.57, 'unit': 'wt%'}, 'Fe': {'value': 0.1, 'unit': 'wt%'}, 'Cr': {'value': 0.11, 'unit': 'wt%'}, 'Ni': {'value': 0.05, 'unit': 'wt%'}, 'O': {'value': 1150.0, 'unit': 'ppm'}, 'C': {'value': 140.0, 'unit': 'ppm'}}",,"{'temperature': None, 'pressure': None, 'environment': None, 'strain_rate': None, 'irradiation_dose': None, 'time': None}",a80a48d72777,,specific_heat,not_mentioned_in_text,not_available,,,auto_filled_domain_placeholder,Table 1,,,,STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_017_chunk1,ingot middle,,,,,,
Zircaloy-2,"{'Sn': {'value': 1.57, 'unit': 'wt%'}, 'Fe': {'value': 0.1, 'unit': 'wt%'}, 'Cr': {'value': 0.11, 'unit': 'wt%'}, 'Ni': {'value': 0.05, 'unit': 'wt%'}, 'O': {'value': 1150.0, 'unit': 'ppm'}, 'C': {'value': 140.0, 'unit': 'ppm'}}",,"{'temperature': None, 'pressure': None, 'environment': None, 'strain_rate': None, 'irradiation_dose': None, 'time': None}",a80a48d72777,,thermal_conductivity,not_mentioned_in_text,not_available,,,auto_filled_domain_placeholder,Table 1,,,,STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_017_chunk1,ingot middle,,,,,,
Zircaloy-2,"{'Sn': {'value': 1.57, 'unit': 'wt%'}, 'Fe': {'value': 0.1, 'unit': 'wt%'}, 'Cr': {'value': 0.11, 'unit': 'wt%'}, 'Ni': {'value': 0.05, 'unit': 'wt%'}, 'O': {'value': 1150.0, 'unit': 'ppm'}, 'C': {'value': 140.0, 'unit': 'ppm'}}",,"{'temperature': None, 'pressure': None, 'environment': None, 'strain_rate': None, 'irradiation_dose': None, 'time': None}",a80a48d72777,,elastoplastic_model,not_mentioned_in_text,not_available,,,auto_filled_domain_placeholder,Table 1,,,,STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_017_chunk1,ingot middle,,,,,,
Zircaloy-2,"{'Sn': {'value': 1.57, 'unit': 'wt%'}, 'Fe': {'value': 0.1, 'unit': 'wt%'}, 'Cr': {'value': 0.11, 'unit': 'wt%'}, 'Ni': {'value': 0.05, 'unit': 'wt%'}, 'O': {'value': 1150.0, 'unit': 'ppm'}, 'C': {'value': 140.0, 'unit': 'ppm'}}",,"{'temperature': None, 'pressure': None, 'environment': None, 'strain_rate': None, 'irradiation_dose': None, 'time': None}",a80a48d72777,,thermal_expansion,not_mentioned_in_text,not_available,,,auto_filled_domain_placeholder,Table 1,,,,STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_017_chunk1,ingot middle,,,,,,
Zircaloy-2,"{'Sn': {'value': 1.57, 'unit': 'wt%'}, 'Fe': {'value': 0.1, 'unit': 'wt%'}, 'Cr': {'value': 0.11, 'unit': 'wt%'}, 'Ni': {'value': 0.05, 'unit': 'wt%'}, 'O': {'value': 1150.0, 'unit': 'ppm'}, 'C': {'value': 140.0, 'unit': 'ppm'}}",,"{'temperature': None, 'pressure': None, 'environment': None, 'strain_rate': None, 'irradiation_dose': None, 'time': None}",a80a48d72777,,irradiation_creep,not_mentioned_in_text,not_available,,,auto_filled_domain_placeholder,Table 1,,,,STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_017_chunk1,ingot middle,,,,,,
Zircaloy-2,"{'Sn': {'value': 1.57, 'unit': 'wt%'}, 'Fe': {'value': 0.1, 'unit': 'wt%'}, 'Cr': {'value': 0.11, 'unit': 'wt%'}, 'Ni': {'value': 0.05, 'unit': 'wt%'}, 'O': {'value': 1150.0, 'unit': 'ppm'}, 'C': {'value': 140.0, 'unit': 'ppm'}}",,"{'temperature': None, 'pressure': None, 'environment': None, 'strain_rate': None, 'irradiation_dose': None, 'time': None}",a80a48d72777,,irradiation_swelling,not_mentioned_in_text,not_available,,,auto_filled_domain_placeholder,Table 1,,,,STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_017_chunk1,ingot middle,,,,,,
Zircaloy-2,"{'Sn': {'value': 1.57, 'unit': 'wt%'}, 'Fe': {'value': 0.1, 'unit': 'wt%'}, 'Cr': {'value': 0.11, 'unit': 'wt%'}, 'Ni': {'value': 0.05, 'unit': 'wt%'}, 'O': {'value': 1150.0, 'unit': 'ppm'}, 'C': {'value': 140.0, 'unit': 'ppm'}}",,"{'temperature': None, 'pressure': None, 'environment': None, 'strain_rate': None, 'irradiation_dose': None, 'time': None}",a80a48d72777,,corrosion,not_mentioned_in_text,not_available,,,auto_filled_domain_placeholder,Table 1,,,,STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_017_chunk1,ingot middle,,,,,,
Zircaloy-2,"{'Sn': {'value': 1.57, 'unit': 'wt%'}, 'Fe': {'value': 0.1, 'unit': 'wt%'}, 'Cr': {'value': 0.11, 'unit': 'wt%'}, 'Ni': {'value': 0.05, 'unit': 'wt%'}, 'O': {'value': 1150.0, 'unit': 'ppm'}, 'C': {'value': 140.0, 'unit': 'ppm'}}",,"{'temperature': None, 'pressure': None, 'environment': None, 'strain_rate': None, 'irradiation_dose': None, 'time': None}",a80a48d72777,,hardening,not_mentioned_in_text,not_available,,,auto_filled_domain_placeholder,Table 1,,,,STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_017_chunk1,ingot middle,,,,,,
Zircaloy-2,"{'Sn': {'value': 1.4, 'unit': 'wt%'}, 'Fe': {'value': 0.11, 'unit': 'wt%'}, 'Cr': {'value': 0.08, 'unit': 'wt%'}, 'Ni': {'极速value': 0.05, 'unit': 'wt%'}, 'O': {'value': 1130.0, 'unit': 'ppm'}, 'C': {'value': 110.0, 'unit': 'ppm'}}",,"{'temperature': None, 'pressure': None, 'environment': None, 'strain_rate': None, 'irradiation_dose': None, 'time': None}",a80a48d72777,1.0,,"Zircaloy-2 Ingot 860220 T: Sn 1.40, Fe 0.11, Cr 0.08, Ni 0.05, O 1130 ppm, C 110 ppm",measurement,,,,Table 1,,composition,wt% and ppm,STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_017_chunk1,ingot top,,wt% and ppm,,,,
Zircaloy-2,"{'Sn': {'value': 1.4, 'unit': 'wt%'}, 'Fe': {'value': 0.11, 'unit': 'wt%'}, 'Cr': {'value': 0.08, 'unit': 'wt%'}, 'Ni': {'极速value': 0.05, 'unit': 'wt%'}, 'O': {'value': 1130.0, 'unit': 'ppm'}, 'C': {'value': 110.0, 'unit': 'ppm'}}",,"{'temperature': None, 'pressure': None, 'environment': None, 'strain_rate': None, 'irradiation_dose': None, 'time': None}",a80a48d72777,,density,not_mentioned_in_text,not_available,,,auto_filled_domain_placeholder,Table 1,,,,STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_017_chunk1,ingot top,,,,,,
Zircaloy-2,"{'Sn': {'value': 1.4, 'unit': 'wt%'}, 'Fe': {'value': 0.11, 'unit': 'wt%'}, 'Cr': {'value': 0.08, 'unit': 'wt%'}, 'Ni': {'极速value': 0.05, 'unit': 'wt%'}, 'O': {'value': 1130.0, 'unit': 'ppm'}, 'C': {'value': 110.0, 'unit': 'ppm'}}",,"{'temperature': None, 'pressure': None, 'environment': None, 'strain_rate': None, 'irradiation_dose': None, 'time': None}",a80a48d72777,,specific_heat,not_mentioned_in_text,not_available,,,auto_filled_domain_placeholder,Table 1,,,,STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_017_chunk1,ingot top,,,,,,
Zircaloy-2,"{'Sn': {'value': 1.4, 'unit': 'wt%'}, 'Fe': {'value': 0.11, 'unit': 'wt%'}, 'Cr': {'value': 0.08, 'unit': 'wt%'}, 'Ni': {'极速value': 0.05, 'unit': 'wt%'}, 'O': {'value': 1130.0, 'unit': 'ppm'}, 'C': {'value': 110.0, 'unit': 'ppm'}}",,"{'temperature': None, 'pressure': None, 'environment': None, 'strain_rate': None, 'irradiation_dose': None, 'time': None}",a80a48d72777,,thermal_conductivity,not_mentioned_in_text,not_available,,,auto_filled_domain_placeholder,Table 1,,,,STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_017_chunk1,ingot top,,,,,,
Zircaloy-2,"{'Sn': {'value': 1.4, 'unit': 'wt%'}, 'Fe': {'value': 0.11, 'unit': 'wt%'}, 'Cr': {'value': 0.08, 'unit': 'wt%'}, 'Ni': {'极速value': 0.05, 'unit': 'wt%'}, 'O': {'value': 1130.0, 'unit': 'ppm'}, 'C': {'value': 110.0, 'unit': 'ppm'}}",,"{'temperature': None, 'pressure': None, 'environment': None, 'strain_rate': None, 'irradiation_dose': None, 'time': None}",a80a48d72777,,elastoplastic_model,not_mentioned_in_text,not_available,,,auto_filled_domain_placeholder,Table 1,,,,STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_017_chunk1,ingot top,,,,,,
Zircaloy-2,"{'Sn': {'value': 1.4, 'unit': 'wt%'}, 'Fe': {'value': 0.11, 'unit': 'wt%'}, 'Cr': {'value': 0.08, 'unit': 'wt%'}, 'Ni': {'极速value': 0.05, 'unit': 'wt%'}, 'O': {'value': 1130.0, 'unit': 'ppm'}, 'C': {'value': 110.0, 'unit': 'ppm'}}",,"{'temperature': None, 'pressure': None, 'environment': None, 'strain_rate': None, 'irradiation_dose': None, 'time': None}",a80a48d72777,,thermal_expansion,not_mentioned_in_text,not_available,,,auto_filled_domain_placeholder,Table 1,,,,STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_017_chunk1,ingot top,,,,,,
Zircaloy-2,"{'Sn': {'value': 1.4, 'unit': 'wt%'}, 'Fe': {'value': 0.11, 'unit': 'wt%'}, 'Cr': {'value': 0.08, 'unit': 'wt%'}, 'Ni': {'极速value': 0.05, 'unit': 'wt%'}, 'O': {'value': 1130.0, 'unit': 'ppm'}, 'C': {'value': 110.0, 'unit': 'ppm'}}",,"{'temperature': None, 'pressure': None, 'environment': None, 'strain_rate': None, 'irradiation_dose': None, 'time': None}",a80a48d72777,,irradiation_creep,not_mentioned_in_text,not_available,,,auto_filled_domain_placeholder,Table 1,,,,STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_017_chunk1,ingot top,,,,,,
Zircaloy-2,"{'Sn': {'value': 1.4, 'unit': 'wt%'}, 'Fe': {'value': 0.11, 'unit': 'wt%'}, 'Cr': {'value': 0.08, 'unit': 'wt%'}, 'Ni': {'极速value': 0.05, 'unit': 'wt%'}, 'O': {'value': 1130.0, 'unit': 'ppm'}, 'C': {'value': 110.0, 'unit': 'ppm'}}",,"{'temperature': None, 'pressure': None, 'environment': None, 'strain_rate': None, 'irradiation_dose': None, 'time': None}",a80a48d72777,,irradiation_swelling,not_mentioned_in_text,not_available,,,auto_filled_domain_placeholder,Table 1,,,,STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_017_chunk1,ingot top,,,,,,
Zircaloy-2,"{'Sn': {'value': 1.4, 'unit': 'wt%'}, 'Fe': {'value': 0.11, 'unit': 'wt%'}, 'Cr': {'value': 0.08, 'unit': 'wt%'}, 'Ni': {'极速value': 0.05, 'unit': 'wt%'}, 'O': {'value': 1130.0, 'unit': 'ppm'}, 'C': {'value': 110.0, 'unit': 'ppm'}}",,"{'temperature': None, 'pressure': None, 'environment': None, 'strain_rate': None, 'irradiation_dose': None, 'time': None}",a80a48d72777,,corrosion,not_mentioned_in_text,not_available,,,auto_filled_domain_placeholder,Table 1,,,,STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_017_chunk1,ingot top,,,,,,
Zircaloy-2,"{'Sn': {'value': 1.4, 'unit': 'wt%'}, 'Fe': {'value': 0.11, 'unit': 'wt%'}, 'Cr': {'value': 0.08, 'unit': 'wt%'}, 'Ni': {'极速value': 0.05, 'unit': 'wt%'}, 'O': {'value': 1130.0, 'unit': 'ppm'}, 'C': {'value': 110.0, 'unit': 'ppm'}}",,"{'temperature': None, 'pressure': None, 'environment': None, 'strain_rate': None, 'irradiation_dose': None, 'time': None}",a80a48d72777,,hardening,not_mentioned_in_text,not_available,,,auto_filled_domain_placeholder,Table 1,,,,STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_017_chunk1,ingot top,,,,,,
Zircaloy-4,"{'Sn': {'value': 1.46, 'unit': 'wt%'}, 'Fe': {'value': 0.22, 'unit': 'wt%'}, 'Cr': {'value': 0.1, 'unit': 'wt%'}, 'Ni': {'value': 0.002, 'unit': 'wt%'}, 'O': {'value': 1150.0, 'unit': 'ppm'}, 'C': {'value': 120.0, 'unit': 'ppm'}}",,"{'temperature': None, 'pressure': None, 'environment': None, 'strain_rate': None, 'irradiation_dose': None, 'time': None}",a80a48d72777,1.0,,"Zircaloy-4 Ingot 861028 B: Sn 1.46, Fe 0.22, Cr 0.10, Ni 0.002, O 1150 ppm, C 120 ppm",measurement,,,,Table 1,,composition,wt% and ppm,STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_极速017_chunk1,ingot bottom,,wt% and ppm,,,,
Zircaloy-4,"{'Sn': {'value': 1.46, 'unit': 'wt%'}, 'Fe': {'value': 0.22, 'unit': 'wt%'}, 'Cr': {'value': 0.1, 'unit': 'wt%'}, 'Ni': {'value': 0.002, 'unit': 'wt%'}, 'O': {'value': 1150.0, 'unit': 'ppm'}, 'C': {'value': 120.0, 'unit': 'ppm'}}",,"{'temperature': None, 'pressure': None, 'environment': None, 'strain_rate': None, 'irradiation_dose': None, 'time': None}",a80a48d72777,,density,not_mentioned_in_text,not_available,,,auto_filled_domain_placeholder,Table 1,,,,STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_极速017_chunk1,ingot bottom,,,,,,
Zircaloy-4,"{'Sn': {'value': 1.46, 'unit': 'wt%'}, 'Fe': {'value': 0.22, 'unit': 'wt%'}, 'Cr': {'value': 0.1, 'unit': 'wt%'}, 'Ni': {'value': 0.002, 'unit': 'wt%'}, 'O': {'value': 1150.0, 'unit': 'ppm'}, 'C': {'value': 120.0, 'unit': 'ppm'}}",,"{'temperature': None, 'pressure': None, 'environment': None, 'strain_rate': None, 'irradiation_dose': None, 'time': None}",a80a48d72777,,specific_heat,not_mentioned_in_text,not_available,,,auto_filled_domain_placeholder,Table 1,,,,STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_极速017_chunk1,ingot bottom,,,,,,
Zircaloy-4,"{'Sn': {'value': 1.46, 'unit': 'wt%'}, 'Fe': {'value': 0.22, 'unit': 'wt%'}, 'Cr': {'value': 0.1, 'unit': 'wt%'}, 'Ni': {'value': 0.002, 'unit': 'wt%'}, 'O': {'value': 1150.0, 'unit': 'ppm'}, 'C': {'value': 120.0, 'unit': 'ppm'}}",,"{'temperature': None, 'pressure': None, 'environment': None, 'strain_rate': None, 'irradiation_dose': None, 'time': None}",a80a48d72777,,thermal_conductivity,not_mentioned_in_text,not_available,,,auto_filled_domain_placeholder,Table 1,,,,STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_极速017_chunk1,ingot bottom,,,,,,
