alloy_name,composition,composition_raw,conditions,conditions_hash,confidence,domain,evidence_span,metric_type,note,page_or_fig,process_step,property_name,raw_unit,source_id,specimen_state,test_type,test极_type,unit,value,value_max,value_min,极process_step
Zr-2.5Nb,{},,"{'temp_C': None, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",fca52774e62a,,hardening,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,text,,,,STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_009_chunk1,,,,,,,,
Zr-2.5Nb,{},,"{'temp_C': 20.0, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",75fc74b77725,high,elastoplastic_model,fracture toughness at maximum pressure $K _ { \mathrm { { C } } }$ decreased rapidly with hydrogen concentration in the region where the concentration was less than $1 0 0 \ \mathsf { p p m }$,judgement,,text,,fracture toughness K_C,,STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_009_chunk1,radial hydrided,pressure tube burst test,,,,,,
Zr-2.5Nb,{},,"{'temp_C': 20.0, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",75fc74b77725,,density,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,text,,,,STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_009_chunk1,radial hydrided,,,,,,,
Zr-2.5Nb,{},,"{'temp_C': 20.0, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",75fc74b77725,,specific_heat,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,text,,,,STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_009_chunk1,radial hydrided,,,,,,,
Zr-2.5Nb,{},,"{'temp_C': 20.0, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",75fc74b77725,,thermal_conductivity,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,text,,,,STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_009_chunk1,radial hydrided,,,,,,,
Zr-2.5Nb,{},,"{'temp_C': 20.0, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",75fc74b77725,,thermal_expansion,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,text,,,,STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_009_chunk1,radial hydrided,,,,,,,
Zr-2.5Nb,{},,"{'temp_C': 20.0, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",75fc74b77725,,irradiation_creep,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,text,,,,STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_009_chunk1,radial hydrided,,,,,,,
Zr-2.5Nb,{},,"{'temp_C': 20.0, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",75fc74b77725,,irradiation_swelling,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,text,,,,STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_009_chunk1,radial hydrided,,,,,,,
Zr-2.5Nb,{},,"{'temp_C': 20.0, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",75fc74b77725,,corrosion,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,text,,,,STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_009_chunk1,radial hydrided,,,,,,,
Zr-2.5Nb,{},,"{'temp_C': 20.0, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",75fc74b77725,,hardening,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,text,,,,STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_009_chunk1,radial hydrided,,,,,,,
Zr-2.5Nb,{},,"{'temp_C': None, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",fca52774e62a,high,corrosion,For materials having radial hydrides at a hydrogen concentration of 200 to $3 0 0 \ \mathrm { p p m }$,range,,text,,hydrogen concentration,ppm,STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_009_chunk1,radial hydrided,,,ppm,,300.0,200.0,
Zr-2.5Nb,{},,"{'temp_C': None, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",fca52774e62a,high,elastoplastic_model,a steep brittle-ductile transition was observed at about $\bar { 5 } 5 0 \ \mathrm { K }$,measurement,,text,,brittle-ductile transition temperature,°C,STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_009_chunk1,radial hydrided,,,°C,277.0,,,
Zr-2.5Nb,{},,"{'temp_C': None, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",fca52774e62a,,density,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,text,,,,STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_009_chunk1,radial hydrided,,,,,,,
Zr-2.5Nb,{},,"{'temp_C': None, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",fca52774e62a,,specific_heat,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,text,,,,STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_009_chunk1,radial hydrided,,,,,,,
Zr-2.5Nb,{},,"{'temp_C': None, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",fca52774e62a,,thermal_conductivity,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,text,,,,STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_009_chunk1,radial hydrided,,,,,,,
Zr-2.5Nb,{},,"{'temp_C': None, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",fca52774e62a,,thermal_expansion,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,text,,,,STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_009_chunk1,radial hydrided,,,,,,,
Zr-2.5Nb,{},,"{'temp_C': None, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",fca52774e62a,,irradiation_creep,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,text,,,,STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_009_chunk1,radial hydrided,,,,,,,
Zr-2.5Nb,{},,"{'temp_C': None, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",fca52774e62a,,irradiation_swelling,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,text,,,,STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_009_chunk1,radial hydrided,,,,,,,
Zr-2.5Nb,{},,"{'temp_C': None, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",fca52774e62a,,hardening,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,text,,,,STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_009_chunk1,radial hydrided,,,,,,,
Zr-2.5Nb,{},,"{'temp_C': 277.0, 'medium': 'light water coolant', 'pressure_MPa': 7.0, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",506367e59c46,high,,The ATR pressure tube contains a fuel assembly and boiling light water coolant at about $5 5 0 ~ \mathrm { ~ K ~ }$ under an operating pressure of 7 MPa,condition,,text,operating,,,STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_009_chunk1,,,,,,,,
Zr-2.5Nb,{},,"{'temp_C': 277.0, 'medium': 'light water coolant', 'pressure_MPa': 7.0, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",506367e59c46,,density,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,text,operating,,,STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_009_chunk1,,,,,,,,
Zr-2.5Nb,{},,"{'temp_C': 277.0, 'medium': 'light water coolant', 'pressure_MPa': 7.0, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",506367e59c46,,specific_heat,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,text,operating,,,STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_009_chunk1,,,,,,,,
Zr-2.5Nb,{},,"{'temp_C': 277.0, 'medium': 'light water coolant', 'pressure_MPa': 7.0, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",506367e59c46,,thermal_conductivity,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,text,operating,,,STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_009_chunk1,,,,,,,,
Zr-2.5Nb,{},,"{'temp_C': 277.0, 'medium': 'light water coolant', 'pressure_MPa': 7.0, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",506367e59c46,,elastoplastic_model,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,text,operating,,,STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_009_chunk1,,,,,,,,
Zr-2.5Nb,{},,"{'temp_C': 277.0, 'medium': 'light water coolant', 'pressure_MPa': 7.0, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",506367e59c46,,thermal_expansion,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,text,operating,,,STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_009_chunk1,,,,,,,,
Zr-2.5Nb,{},,"{'temp_C': 277.0, 'medium': 'light water coolant', 'pressure_MPa': 7.0, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",506367e59c46,,irradiation_creep,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,text,operating,,,STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_009_chunk1,,,,,,,,
Zr-2.5Nb,{},,"{'temp_C': 277.0, 'medium': 'light water coolant', 'pressure_MPa': 7.0, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",506367e59c46,,irradiation_swelling,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,text,operating,,,STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_009_chunk1,,,,,,,,
Zr-2.5Nb,{},,"{'temp_C': 277.0, 'medium': 'light water coolant', 'pressure_MPa': 7.0, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",506367e59c46,,corrosion,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,text,operating,,,STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_009_chunk1,,,,,,,,
Zr-2.5Nb,{},,"{'temp_C': 277.0, 'medium': 'light water coolant', 'pressure_MPa': 7.0, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",506367e59c46,,hardening,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,text,operating,,,STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_009_chunk1,,,,,,,,
Zr-2.5Nb,{},,"{'temp_C': 500.0, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",20f7670a9a74,high,,and aged 24 h at 773 K,measurement,,text,aging,aging time,h,STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_009_chunk1,,,,h,24.0,,,
Zr-2.5Nb,{},,"{'temp_C': 500.0, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",20f7670a9a74,,density,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,text,aging,,,STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_009_chunk1,,,,,,,,
Zr-2.5Nb,{},,"{'temp_C': 500.0, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",20f7670a9a74,,specific_heat,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,text,aging,,,STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_009_chunk1,,,,,,,,
Zr-2.5Nb,{},,"{'temp_C': 500.0, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",20f7670a9a74,,thermal_conductivity,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,text,aging,,,STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_009_chunk1,,,,,,,,
Zr-2.5Nb,{},,"{'temp_C': 500.0, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",20f7670a9a74,,elastoplastic_model,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,text,aging,,,STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_009_chunk1,,,,,,,,
Zr-2.5Nb,{},,"{'temp_C': 500.0, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",20f7670a9a74,,thermal_expansion,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,text,aging,,,STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_009_chunk1,,,,,,,,
Zr-2.5Nb,{},,"{'temp_C': 500.0, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",20f7670a9a74,,irradiation_creep,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,text,aging,,,STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_009_chunk1,,,,,,,,
Zr-2.5Nb,{},,"{'temp_C': 500.0, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",20f7670a9a74,,irradiation_swelling,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,text,aging,,,STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_009_chunk1,,,,,,,,
Zr-2.5Nb,{},,"{'temp_C': 500.0, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",20f7670a9a74,,corrosion,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,text,aging,,,STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_009_chunk1,,,,,,,,
Zr-2.5Nb,{},,"{'temp_C': 500.0, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",20f7670a9a74,,hardening,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,text,aging,,,STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_009_chunk1,,,,,,,,
Zr-2.5Nb,{},,"{'temp_C': None, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",fca52774e62a,high,corrosion,The hydrogen concentration of the as-received pressure tubes was below $2 5 ~ \mathrm { p p m }$,upper_bound,,text,,hydrogen concentration,ppm,STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_009_chunk1,as-received,,,ppm,,25.0,,
Zr-2.5Nb,{},,"{'temp_C': None, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",fca52774e62a,,density,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,text,,,,STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_009_chunk1,as-received,,,,,,,
Zr-2.5Nb,{},,"{'temp_C': None, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",fca52774e62a,,specific_heat,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,text,,,,STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_009_chunk1,as-received,,,,,,,
Zr-2.5Nb,{},,"{'temp_C': None, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",fca52774e62a,,thermal_conductivity,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,text,,,,STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_009_chunk1,as-received,,,,,,,
