alloy_name,composition,composition_raw,conditions,conditions_hash,confidence,domain,evidence_span,metric_type,metric极,note,page_or_fig,process_step,process极,property_name,raw_unit,source_id,specimen_state,test_type,unit,value,value_max,value_min,极,极_type
Zircaloy,{},,"{'temp_C': None, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",fca52774e62a,,irradiation_swelling,not_mentioned_in_text,not_available,,auto_filled_domain_placeholder,text,,,,,STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_014_chunk1,oxide layer,,,,,,,
Zircaloy,{},,"{'temp_C': None, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",fca52774e62a,,hardening,not_mentioned_in_text,not_available,,auto_filled_domain_placeholder,text,,,,,STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_014_chunk1,oxide layer,,,,,,,
Zircaloy-4,{},standard (SRA),"{'temp_C': None, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",fca52774e62a,0.9,corrosion,the oxide growth model was developed from an analysis of the corrosion data measured from the heating rods of the CIRENE out-of-pile loop,,judgement,,text,,,corrosion kinetics,,STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_014_chunk1,heating rods,CIRENE out-of-pile loop test,,,,,,
Zircaloy-4,{},,"{'temp_C': None, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",fca52774e62a,,density,not_mentioned_in_text,not_available,,auto_filled_domain_placeholder,text,,,,,STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_014_chunk1,heating rods,,,,,,,
Zircaloy-4,{},,"{'temp_C': None, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",fca52774e62a,,specific_heat,not_mentioned_in_text,not_available,,auto_filled_domain_placeholder,text,,,,,STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_014_chunk1,heating rods,,,,,,,
Zircaloy-4,{},,"{'temp_C': None, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",fca52774e62a,,thermal_conductivity,not_mentioned_in_text,not_available,,auto_filled_domain_placeholder,text,,,,,STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_014_chunk1,heating rods,,,,,,,
Zircaloy-4,{},,"{'temp_C': None, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",fca52774e62a,,elastoplastic_model,not_mentioned_in_text,not_available,,auto_filled_domain_placeholder,text,,,,,STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_014_chunk1,heating rods,,,,,,,
Zircaloy-4,{},,"{'temp_C': None, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",fca52774e62a,,thermal_expansion,not_mentioned_in_text,not_available,,auto_filled_domain_placeholder,text,,,,,STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_014_chunk1,heating rods,,,,,,,
Zircaloy-4,{},,"{'temp_C': None, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",fca52774e62a,,irradiation_creep,not_mentioned_in_text,not_available,,auto_filled_domain_placeholder,text,,,,,STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_014_chunk1,heating rods,,,,,,,
Zircaloy-4,{},,"{'temp_C': None, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",fca52774e62a,,irradiation_swelling,not_mentioned_in_text,not_available,,auto_filled_domain_placeholder,text,,,,,STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_014_chunk1,heating rods,,,,,,,
Zircaloy-4,{},,"{'temp_C': None, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",fca52774e62a,,hardening,not_mentioned_in_text,not_available,,auto_filled_domain_placeholder,text,,,,,STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_014_chunk1,heating rods,,,,,,,
,{},,"{'temp_C': None, 'medium': 'PWR', 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",fc426e51e3b1,,corrosion,"Reactor A, 10, 2 Cycles, 2.6 μm",measurement,,,Table 1,irradiation,,oxide thickness,μm,STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_014_chunk2,fuel cladding,corrosion test,μm,2.6,,,,
,{},,"{'temp_C': None, 'medium': 'PWR', 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",fc426e51e3b1,,corrosion,"Reactor A, 273, 2 Cycles, 17 μm",measurement,,,Table 1,irradiation,,oxide thickness,μm,STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_014_chunk2,fuel cladding,corrosion test,μm,17.0,,,,
,{},,"{'temp_C': None, 'medium': 'PWR', 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",fc426e51e3b1,,corrosion,"Reactor A, 370 to 372.5, 2 Cycles, 9 μm",measurement,,,Table 极,irradiation,,oxide thickness,μm,STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_014_chunk2,fuel cladding,corrosion test,μm,9.0,,,,
,{},,"{'temp_C': None, 'medium': 'PWR', 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",fc426e51e3b1,,corrosion,"Reactor A, 174, 4 Cycles, 16.5 μm",measurement,,,Table 1,irradiation,,oxide thickness,μm,STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_014_chunk2,fuel cladding,corrosion test,μm,16.5,,,,
,{},,"{'temp_C': None, 'medium': 'PWR', 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",fc426e51e3b1,,corrosion,"Reactor A, 308, 极 Cycles, 43 μm",measurement,,,Table 1,irradiation,,oxide thickness,μm,STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_014_chunk2,fuel cladding,corrosion test,μm,43.0,,,,
,{},,"{'temp_C': None, 'medium': 'PWR', 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",fc426e51e3b1,,density,not_mentioned_in_text,not_available,,auto_filled_domain_placeholder,Table 1,irradiation,,,,STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_014_chunk2,fuel cladding,,,,,,,
,{},,"{'temp_C': None, 'medium': 'PWR', 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",fc426e51e3b1,,specific_heat,not_mentioned_in_text,not_available,,auto_filled_domain_placeholder,Table 1,irradiation,,,,STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_014_chunk2,fuel cladding,,,,,,,
,{},,"{'temp_C': None, 'medium': 'PWR', 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",fc426e51e3b1,,thermal_conductivity,not_mentioned_in_text,not_available,,auto_filled_domain_placeholder,Table 1,irradiation,,,,STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_014_chunk2,fuel cladding,,,,,,,
,{},,"{'temp_C': None, 'medium': 'PWR', 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",fc426e51e3b1,,elastoplastic_model,not_mentioned_in_text,not_available,,auto_filled_domain_placeholder,Table 1,irradiation,,,,STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_014_chunk2,fuel cladding,,,,,,,
,{},,"{'temp_C': None, 'medium': 'PWR', 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",fc426e51e3b1,,thermal_expansion,not_mentioned_in_text,not_available,,auto_filled_domain_placeholder,Table 1,irradiation,,,,STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_014_chunk2,fuel cladding,,,,,,,
,{},,"{'temp_C': None, 'medium': 'PWR', 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",fc426e51e3b1,,irradiation_creep,not_mentioned_in_text,not_available,,auto_filled_domain_placeholder,Table 1,irradiation,,,,STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_014_chunk2,fuel cladding,,,,,,,
,{},,"{'temp_C': None, 'medium': 'PWR', 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",fc426e51e3b1,,irradiation_swelling,not_mentioned_in_text,not_available,,auto_filled_domain_placeholder,Table 1,irradiation,,,,STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_014_chunk2,fuel cladding,,,,,,,
,{},,"{'temp_C': None, 'medium': 'PWR', 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",fc426e51e3b1,,hardening,not_mentioned_in_text,not_available,,auto_filled_domain_placeholder,Table 1,irradiation,,,,STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_014_chunk2,fuel cladding,,,,,,,
,{},,"{'temp_C': None, 'medium': 'PWR', 'pressure_MPa': None, '极_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",083a548ed15a,,corrosion,"Reactor A, 53, 2 Cycles, 4 μm",measurement,,,Table 1,irradiation,,oxide thickness,μm,STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_014_chunk2,fuel cladding,corrosion test,μm,4.0,,,,
,{},,"{'temp_C': None, 'medium': 'PWR', 'pressure_MPa': None, '极_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",083a548ed15a,,density,not_mentioned_in_text,not_available,,auto_filled_domain_placeholder,Table 1,irradiation,,,,STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_014_chunk2,fuel cladding,,,,,,,
,{},,"{'temp_C': None, 'medium': 'PWR', 'pressure_MPa': None, '极_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",083a548ed15a,,specific_heat,not_mentioned_in_text,not_available,,auto_filled_domain_placeholder,Table 1,irradiation,,,,STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_014_chunk2,fuel cladding,,,,,,,
,{},,"{'temp_C': None, 'medium': 'PWR', 'pressure_MPa': None, '极_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",083a548ed15a,,thermal_conductivity,not_mentioned_in_text,not_available,,auto_filled_domain_placeholder,Table 1,irradiation,,,,STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_014_chunk2,fuel cladding,,,,,,,
,{},,"{'temp_C': None, 'medium': 'PWR', 'pressure_MPa': None, '极_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",083a548ed15a,,elastoplastic_model,not_mentioned_in_text,not_available,,auto_filled_domain_placeholder,Table 1,irradiation,,,,STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_014_chunk2,fuel cladding,,,,,,,
,{},,"{'temp_C': None, 'medium': 'PWR', 'pressure_MPa': None, '极_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",083a548ed15a,,thermal_expansion,not_mentioned_in_text,not_available,,auto_filled_domain_placeholder,Table 1,irradiation,,,,STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_014_chunk2,fuel cladding,,,,,,,
,{},,"{'temp_C': None, 'medium': 'PWR', 'pressure_MPa': None, '极_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",083a548ed15a,,irradiation_creep,not_mentioned_in_text,not_available,,auto_filled_domain_placeholder,Table 1,irradiation,,,,STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_014_chunk2,fuel cladding,,,,,,,
,{},,"{'temp_C': None, 'medium': 'PWR', 'pressure_MPa': None, '极_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",083a548ed15a,,irradiation_swelling,not_mentioned_in_text,not_available,,auto_filled_domain_placeholder,Table 1,irradiation,,,,STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_014_chunk2,fuel cladding,,,,,,,
,{},,"{'temp_C': None, 'medium': 'PWR', 'pressure_MPa': None, '极_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",083a548ed15a,,hardening,not_mentioned_in_text,not_available,,auto_filled_domain_placeholder,Table 1,irradiation,,,,STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_014_chunk2,fuel cladding,,,,,,,
,{},,"{'temp_C': None, 'medium': 'PWR', 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",fc426e51e3b1,,corrosion,"Reactor A, 141, 2 Cycles, 6 μm",measurement,,,Table 1,irradiation,,oxide thickness,μm,ST极1023-EB-Zirconium in the Nuclear Industry_8th Volume_014_chunk2,fuel cladding,corrosion test,μm,6.0,,,,
,{},,"{'temp_C': None, 'medium': 'PWR', 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",fc426e51e3b1,,density,not_mentioned_in_text,not_available,,auto_filled_domain_placeholder,Table 1,irradiation,,,,ST极1023-EB-Zirconium in the Nuclear Industry_8th Volume_014_chunk2,fuel cladding,,,,,,,
,{},,"{'temp_C': None, 'medium': 'PWR', 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",fc426e51e3b1,,specific_heat,not_mentioned_in_text,not_available,,auto_filled_domain_placeholder,Table 1,irradiation,,,,ST极1023-EB-Zirconium in the Nuclear Industry_8th Volume_014_chunk2,fuel cladding,,,,,,,
,{},,"{'temp_C': None, 'medium': 'PWR', 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",fc426e51e3b1,,thermal_conductivity,not_mentioned_in_text,not_available,,auto_filled_domain_placeholder,Table 1,irradiation,,,,ST极1023-EB-Zirconium in the Nuclear Industry_8th Volume_014_chunk2,fuel cladding,,,,,,,
,{},,"{'temp_C': None, 'medium': 'PWR', 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",fc426e51e3b1,,elastoplastic_model,not_mentioned_in_text,not_available,,auto_filled_domain_placeholder,Table 1,irradiation,,,,ST极1023-EB-Zirconium in the Nuclear Industry_8th Volume_014_chunk2,fuel cladding,,,,,,,
,{},,"{'temp_C': None, 'medium': 'PWR', 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",fc426e51e3b1,,thermal_expansion,not_mentioned_in_text,not_available,,auto_filled_domain_placeholder,Table 1,irradiation,,,,ST极1023-EB-Zirconium in the Nuclear Industry_8th Volume_014_chunk2,fuel cladding,,,,,,,
,{},,"{'temp_C': None, 'medium': 'PWR', 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",fc426e51e3b1,,irradiation_creep,not_mentioned_in_text,not_available,,auto_filled_domain_placeholder,Table 1,irradiation,,,,ST极1023-EB-Zirconium in the Nuclear Industry_8th Volume_014_chunk2,fuel cladding,,,,,,,
